experiment,dataset,train_dataset,test_dataset,model,accuracy,precision,recall,f1,roc_auc,pr_auc,result_family,feature_variant,n_features
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,0.4262,0.4266,0.998,0.5977,0.4648,0.4237,original,,
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,0.4252,0.426,0.9956,0.5967,0.6049,0.7455,original,,
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,0.4251,0.4259,0.9954,0.5966,0.0102,0.2537,original,,
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,0.4178,0.4217,0.9782,0.5894,0.4891,0.4218,original,,
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,0.1803,0.1802,0.9997,0.3053,0.3328,0.1349,original,,
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,0.1801,0.1802,0.9998,0.3053,0.4999,0.1802,original,,
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,0.1801,0.1802,0.9998,0.3053,0.3124,0.1377,original,,
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,0.1801,0.1802,0.9998,0.3053,0.4671,0.1707,original,,
internal,combined,combined,combined,Random Forest,0.9828,0.9665,0.9664,0.9665,0.9953,0.9908,original,,
internal,combined,combined,combined,Gradient Boosting,0.9785,0.9713,0.9443,0.9576,0.995,0.9903,original,,
internal,combined,combined,combined,Decision Tree,0.9742,0.9502,0.9493,0.9497,0.9663,0.9174,original,,
internal,combined,combined,combined,Logistic Regression,0.8229,0.628,0.7615,0.6883,0.8785,0.7677,original,,
internal,malicious_urls,malicious_urls,malicious_urls,Random Forest,0.9751,0.9249,0.938,0.9314,0.9917,0.9753,original,,
internal,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,0.9714,0.943,0.8956,0.9187,0.9902,0.9709,original,,
internal,malicious_urls,malicious_urls,malicious_urls,Decision Tree,0.9633,0.9,0.8958,0.8979,0.9376,0.8293,original,,
internal,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,0.874,0.6034,0.878,0.7152,0.9414,0.8058,original,,
internal,phiusiil,phiusiil,phiusiil,Gradient Boosting,0.9981,1.0,0.9957,0.9978,0.9988,0.9991,original,,
internal,phiusiil,phiusiil,phiusiil,Random Forest,0.9978,0.9991,0.9959,0.9975,0.9985,0.9984,original,,
internal,phiusiil,phiusiil,phiusiil,Logistic Regression,0.9978,0.9995,0.9954,0.9974,0.9989,0.9992,original,,
internal,phiusiil,phiusiil,phiusiil,Decision Tree,0.9971,0.9971,0.9961,0.9966,0.9971,0.9953,original,,
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,0.4262,0.4266,0.998,0.5977,0.4648,0.4237,ablation,all_features,64.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,0.4252,0.426,0.9956,0.5967,0.6049,0.7455,ablation,all_features,64.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,0.4251,0.4259,0.9954,0.5966,0.0102,0.2537,ablation,all_features,64.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,0.4178,0.4217,0.9782,0.5894,0.4891,0.4218,ablation,all_features,64.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,0.4244,0.4255,0.9937,0.5959,0.099,0.2665,ablation,without_artifact_prone_features,59.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,0.3925,0.4066,0.9191,0.5638,0.2882,0.3295,ablation,without_artifact_prone_features,59.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,0.3907,0.4055,0.9149,0.5619,0.4979,0.5722,ablation,without_artifact_prone_features,59.0
cross_dataset,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,0.3766,0.3942,0.8562,0.5398,0.4377,0.3989,ablation,without_artifact_prone_features,59.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,0.1803,0.1802,0.9997,0.3053,0.3328,0.1349,ablation,all_features,64.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,0.1801,0.1802,0.9998,0.3053,0.4999,0.1802,ablation,all_features,64.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,0.1801,0.1802,0.9998,0.3053,0.3124,0.1377,ablation,all_features,64.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,0.1801,0.1802,0.9998,0.3053,0.4671,0.1707,ablation,all_features,64.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,0.1801,0.1801,0.9998,0.3053,0.3133,0.1321,ablation,without_artifact_prone_features,59.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,0.1801,0.1801,0.9997,0.3053,0.1892,0.1238,ablation,without_artifact_prone_features,59.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,0.1793,0.1794,0.9945,0.3039,0.4973,0.1794,ablation,without_artifact_prone_features,59.0
cross_dataset,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,0.1848,0.1641,0.8611,0.2757,0.4451,0.1644,ablation,without_artifact_prone_features,59.0
internal,combined,combined,combined,Random Forest,0.9828,0.9665,0.9664,0.9665,0.9953,0.9908,ablation,all_features,64.0
internal,combined,combined,combined,Gradient Boosting,0.9785,0.9713,0.9443,0.9576,0.995,0.9903,ablation,all_features,64.0
internal,combined,combined,combined,Decision Tree,0.9742,0.9502,0.9493,0.9497,0.9663,0.9174,ablation,all_features,64.0
internal,combined,combined,combined,Logistic Regression,0.8229,0.628,0.7615,0.6883,0.8785,0.7677,ablation,all_features,64.0
internal,combined,combined,combined,Random Forest,0.9739,0.9407,0.9587,0.9496,0.9934,0.9859,ablation,without_artifact_prone_features,59.0
internal,combined,combined,combined,Decision Tree,0.9625,0.9275,0.9265,0.927,0.9508,0.8801,ablation,without_artifact_prone_features,59.0
internal,combined,combined,combined,Gradient Boosting,0.9558,0.9384,0.8859,0.9114,0.9847,0.9681,ablation,without_artifact_prone_features,59.0
internal,combined,combined,combined,Logistic Regression,0.698,0.447,0.7416,0.5578,0.8202,0.6394,ablation,without_artifact_prone_features,59.0
internal,malicious_urls,malicious_urls,malicious_urls,Random Forest,0.9751,0.9249,0.938,0.9314,0.9917,0.9753,ablation,all_features,64.0
internal,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,0.9714,0.943,0.8956,0.9187,0.9902,0.9709,ablation,all_features,64.0
internal,malicious_urls,malicious_urls,malicious_urls,Decision Tree,0.9633,0.9,0.8958,0.8979,0.9376,0.8293,ablation,all_features,64.0
internal,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,0.874,0.6034,0.878,0.7152,0.9414,0.8058,ablation,all_features,64.0
internal,malicious_urls,malicious_urls,malicious_urls,Random Forest,0.9668,0.8935,0.9262,0.9096,0.9886,0.9637,ablation,without_artifact_prone_features,59.0
internal,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,0.9593,0.9123,0.8563,0.8834,0.9835,0.9485,ablation,without_artifact_prone_features,59.0
internal,malicious_urls,malicious_urls,malicious_urls,Decision Tree,0.9528,0.8721,0.8649,0.8685,0.9191,0.7825,ablation,without_artifact_prone_features,59.0
internal,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,0.846,0.5447,0.8856,0.6745,0.9228,0.7388,ablation,without_artifact_prone_features,59.0
internal,phiusiil,phiusiil,phiusiil,Gradient Boosting,0.9981,1.0,0.9957,0.9978,0.9988,0.9991,ablation,all_features,64.0
internal,phiusiil,phiusiil,phiusiil,Random Forest,0.9978,0.9991,0.9959,0.9975,0.9985,0.9984,ablation,all_features,64.0
internal,phiusiil,phiusiil,phiusiil,Logistic Regression,0.9978,0.9995,0.9954,0.9974,0.9989,0.9992,ablation,all_features,64.0
internal,phiusiil,phiusiil,phiusiil,Decision Tree,0.9971,0.9971,0.9961,0.9966,0.9971,0.9953,ablation,all_features,64.0
internal,phiusiil,phiusiil,phiusiil,Gradient Boosting,0.9977,0.9996,0.995,0.9973,0.999,0.9992,ablation,without_artifact_prone_features,59.0
internal,phiusiil,phiusiil,phiusiil,Random Forest,0.9938,0.9926,0.9929,0.9928,0.9986,0.9986,ablation,without_artifact_prone_features,59.0
internal,phiusiil,phiusiil,phiusiil,Decision Tree,0.9901,0.9887,0.9882,0.9885,0.9898,0.9825,ablation,without_artifact_prone_features,59.0
internal,phiusiil,phiusiil,phiusiil,Logistic Regression,0.9869,0.9876,0.9815,0.9846,0.9966,0.9969,ablation,without_artifact_prone_features,59.0
internal_normalized_url,phiusiil,phiusiil,phiusiil,Logistic Regression,0.8636,0.9181,0.7474,0.824,0.908,0.9175,normalized_url,,64.0
internal_normalized_url,phiusiil,phiusiil,phiusiil,Decision Tree,0.8625,0.8987,0.7643,0.8261,0.8873,0.8816,normalized_url,,64.0
internal_normalized_url,phiusiil,phiusiil,phiusiil,Random Forest,0.866,0.9032,0.7687,0.8305,0.9071,0.9169,normalized_url,,64.0
internal_normalized_url,phiusiil,phiusiil,phiusiil,Gradient Boosting,0.8763,0.9485,0.751,0.8383,0.917,0.9245,normalized_url,,64.0
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,0.6668,0.3279,0.8091,0.4667,0.788,0.4339,normalized_url,,64.0
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Decision Tree,0.839,0.5443,0.655,0.5945,0.7815,0.481,normalized_url,,64.0
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Random Forest,0.8588,0.5857,0.7391,0.6535,0.9168,0.7232,normalized_url,,64.0
internal_normalized_url,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,0.8702,0.7668,0.402,0.5275,0.8938,0.6907,normalized_url,,64.0
internal_normalized_url,combined,combined,combined,Logistic Regression,0.749,0.5088,0.6553,0.5729,0.7974,0.622,normalized_url,,64.0
internal_normalized_url,combined,combined,combined,Decision Tree,0.8352,0.6778,0.683,0.6804,0.8184,0.6371,normalized_url,,64.0
internal_normalized_url,combined,combined,combined,Random Forest,0.8516,0.7013,0.7354,0.7179,0.9093,0.8149,normalized_url,,64.0
internal_normalized_url,combined,combined,combined,Gradient Boosting,0.8498,0.8279,0.5243,0.642,0.8887,0.7859,normalized_url,,64.0
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Logistic Regression,0.2169,0.1702,0.8638,0.2844,0.3841,0.1474,normalized_url,,64.0
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Decision Tree,0.2113,0.1632,0.8182,0.2721,0.4416,0.1634,normalized_url,,64.0
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Random Forest,0.2179,0.1706,0.8648,0.2849,0.4208,0.1565,normalized_url,,64.0
cross_dataset_normalized_url,phiusiil_to_malicious_urls,phiusiil,malicious_urls,Gradient Boosting,0.2187,0.1699,0.8585,0.2837,0.3238,0.1299,normalized_url,,64.0
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Logistic Regression,0.366,0.3898,0.8566,0.5358,0.521,0.5026,normalized_url,,64.0
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Decision Tree,0.4407,0.3972,0.5983,0.4775,0.5584,0.6,normalized_url,,64.0
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Random Forest,0.4863,0.4385,0.7233,0.546,0.5531,0.4677,normalized_url,,64.0
cross_dataset_normalized_url,malicious_urls_to_phiusiil,malicious_urls,phiusiil,Gradient Boosting,0.6638,0.6423,0.4801,0.5495,0.6698,0.6153,normalized_url,,64.0
