Feature,Mean in PhiUSIIL,Mean in Malicious URLs,SMD,Absolute SMD
colon_count,1.0049,0.1284,3.2613,3.2613
has_https,0.7806,0.0171,2.4904,2.4904
has_http,0.2194,0.9829,-2.4903,2.4903
is_www,0.7502,0.0951,1.7713,1.7713
path_depth,0.2507,2.1313,-1.4253,1.4253
special_char_ratio,0.1943,0.1436,1.2284,1.2284
path_length,3.7191,29.8615,-0.9873,0.9873
hostname_dot_count,2.1649,1.5209,0.7145,0.7145
subdomain_count,1.0698,0.4703,0.7003,0.7003
url_entropy,3.9604,4.1738,-0.5764,0.5764
token_count,5.0679,8.4329,-0.5703,0.5703
is_common_tld,0.6544,0.8841,-0.5666,0.5666
hyphen_count,0.349,1.5924,-0.5103,0.5103
letter_count,27.1873,42.1109,-0.5069,0.5069
url_length,35.3399,55.5462,-0.4714,0.4714
digit_ratio,0.0283,0.0674,-0.4712,0.4712
is_com_tld,0.4775,0.6871,-0.4348,0.4348
question_count,0.0295,0.1658,-0.4293,0.4293
underscore_count,0.0349,0.4162,-0.3925,0.3925
hostname_length,21.4545,17.2245,0.3916,0.3916
