experiment,dataset,train_dataset,test_dataset,model,accuracy,precision,recall,f1,roc_auc,pr_auc
internal,combined,combined,combined,Random Forest,0.9827719360779421,0.9665338645418327,0.9663848269126982,0.9664593399814948,0.9953331731540864,0.9907543117973844
internal,combined,combined,combined,Gradient Boosting,0.9785474299821119,0.9713447355203679,0.9443345069517617,0.9576492051081574,0.9949618251283022,0.9902717833267307
internal,combined,combined,combined,Decision Tree,0.9741909080707869,0.9501504745736554,0.9493202436329059,0.9497351776623644,0.9663367454269799,0.9174002469694518
internal,combined,combined,combined,Logistic Regression,0.822900783513865,0.6280336590432184,0.7614813291871193,0.6883494017888256,0.8785307446695617,0.7676766055202942
internal,malicious_urls,malicious_urls,malicious_urls,Random Forest,0.9751038933680602,0.9248624574272989,0.9380347558059202,0.9314020368318294,0.9916599807221118,0.9753446217563317
internal,malicious_urls,malicious_urls,malicious_urls,Gradient Boosting,0.9714460807782906,0.9430362039057691,0.8956262953712069,0.918720017444396,0.9901778498401179,0.970945784123342
internal,malicious_urls,malicious_urls,malicious_urls,Decision Tree,0.9633069689947719,0.9000480538202787,0.8958388691077217,0.8979385287380813,0.9376119161372762,0.8293419411905585
internal,malicious_urls,malicious_urls,malicious_urls,Logistic Regression,0.874016125016757,0.6033525673800306,0.877982675240474,0.715210285936925,0.9414085960532912,0.8057995957509363
internal,phiusiil,phiusiil,phiusiil,Gradient Boosting,0.998130602880571,0.9999500449595364,0.9956725029844807,0.99780668959673,0.9987942509849782,0.9990717359989425
internal,phiusiil,phiusiil,phiusiil,Random Forest,0.9978331987933892,0.9990518962075848,0.9958714683645046,0.9974591470705461,0.9985271158016874,0.9984439347644999
internal,phiusiil,phiusiil,phiusiil,Logistic Regression,0.9978119556443047,0.9995005244493282,0.9953740549144449,0.9974330218068536,0.9989479696309631,0.9991895164005222
internal,phiusiil,phiusiil,phiusiil,Decision Tree,0.99706844542635,0.9970623381796455,0.9960704337445284,0.9965661391460138,0.9970663930579157,0.9953441363747627
